Year,Region,gruppe.beschaeftigt,Value
2011,Enzkreis,Entwicklungspolitische Projekte (Anzahl),2.0
2012,Enzkreis,Entwicklungspolitische Projekte (Anzahl),3.0
2013,Enzkreis,Entwicklungspolitische Projekte (Anzahl),4.0
2014,Enzkreis,Entwicklungspolitische Projekte (Anzahl),3.0
2015,Enzkreis,Entwicklungspolitische Projekte (Anzahl),5.0
2016,Enzkreis,Entwicklungspolitische Projekte (Anzahl),3.0
2017,Enzkreis,Entwicklungspolitische Projekte (Anzahl),4.0
2018,Enzkreis,Entwicklungspolitische Projekte (Anzahl),5.0
2019,Enzkreis,Entwicklungspolitische Projekte (Anzahl),11.0
2020,Enzkreis,Entwicklungspolitische Projekte (Anzahl),11.0
2021,Enzkreis,Entwicklungspolitische Projekte (Anzahl),13.0
2022,Enzkreis,Entwicklungspolitische Projekte (Anzahl),13.0
2011,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.1
2012,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.16
2013,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.21
2014,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.15
2015,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.26
2016,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.15
2017,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.2
2018,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.25
2019,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.55
2020,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.55
2021,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.65
2022,Enzkreis,Entwicklungspolitische Projekte (je 10 tsd. EW),0.65
