Year,Region,gruppe.beschaeftigt,Value
2012,Enzkreis,Ordentliche Aufwendungen,154919
2013,Enzkreis,Ordentliche Aufwendungen,166725
2014,Enzkreis,Ordentliche Aufwendungen,177426
2015,Enzkreis,Ordentliche Aufwendungen,186350
2016,Enzkreis,Ordentliche Aufwendungen,218622
2017,Enzkreis,Ordentliche Aufwendungen,218609
2018,Enzkreis,Ordentliche Aufwendungen,229988
2019,Enzkreis,Ordentliche Aufwendungen,234352
2020,Enzkreis,Ordentliche Aufwendungen,245917
2021,Enzkreis,Ordentliche Aufwendungen,259837
2012,Enzkreis,Verschuldung im Kernhaushalt,27690
2013,Enzkreis,Verschuldung im Kernhaushalt,31087
2014,Enzkreis,Verschuldung im Kernhaushalt,27941
2015,Enzkreis,Verschuldung im Kernhaushalt,31191
2016,Enzkreis,Verschuldung im Kernhaushalt,38983
2017,Enzkreis,Verschuldung im Kernhaushalt,34113
2018,Enzkreis,Verschuldung im Kernhaushalt,29263
2019,Enzkreis,Verschuldung im Kernhaushalt,27209
2020,Enzkreis,Verschuldung im Kernhaushalt,21877
2021,Enzkreis,Verschuldung im Kernhaushalt,17907
