Year,Region,gruppe.beschaeftigt,Value
2010,Enzkreis,Erwerbsaufstocker,26.9
2011,Enzkreis,Erwerbsaufstocker,26.0
2012,Enzkreis,Erwerbsaufstocker,27.3
2013,Enzkreis,Erwerbsaufstocker,26.7
2014,Enzkreis,Erwerbsaufstocker,27.1
2015,Enzkreis,Erwerbsaufstocker,26.7
2016,Enzkreis,Erwerbsaufstocker,22.6
2017,Enzkreis,Erwerbsaufstocker,21.1
2018,Enzkreis,Erwerbsaufstocker,21.6
2019,Enzkreis,Erwerbsaufstocker,20.8
2020,Enzkreis,Erwerbsaufstocker,19.4
2010,Enzkreis,Erwerbsaufstocker,28.8
2011,Enzkreis,Erwerbsaufstocker,30.0
2012,Enzkreis,Erwerbsaufstocker,29.8
2013,Enzkreis,Erwerbsaufstocker,29.7
2014,Enzkreis,Erwerbsaufstocker,29.4
2015,Enzkreis,Erwerbsaufstocker,29.0
2016,Enzkreis,Erwerbsaufstocker,27.1
2017,Enzkreis,Erwerbsaufstocker,27.0
2018,Enzkreis,Erwerbsaufstocker,27.4
2019,Enzkreis,Erwerbsaufstocker,27.1
2020,Enzkreis,Erwerbsaufstocker,24.0
