Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Gewinnung Grund- und Quellwasser,7461.0
2010,Enzkreis,Gewinnung Grund- und Quellwasser,6862.0
2013,Enzkreis,Gewinnung Grund- und Quellwasser,6256.0
2016,Enzkreis,Gewinnung Grund- und Quellwasser,6659.0
2019,Enzkreis,Gewinnung Grund- und Quellwasser,7178.0
2007,Enzkreis,Wasserabgabe an Letztverbraucher (gesamt),9402.0
2010,Enzkreis,Wasserabgabe an Letztverbraucher (gesamt),9231.0
2013,Enzkreis,Wasserabgabe an Letztverbraucher (gesamt),9154.0
2016,Enzkreis,Wasserabgabe an Letztverbraucher (gesamt),9533.0
2019,Enzkreis,Wasserabgabe an Letztverbraucher (gesamt),9971.0
2007,Enzkreis,Wasserabgabe an Haushalte,7618.0
2010,Enzkreis,Wasserabgabe an Haushalte,7559.0
2013,Enzkreis,Wasserabgabe an Haushalte,7487.0
2016,Enzkreis,Wasserabgabe an Haushalte,7976.0
2019,Enzkreis,Wasserabgabe an Haushalte,8756.0
2007,Enzkreis,Täglicher Verbrauch pro Kopf [l],106.8
2010,Enzkreis,Täglicher Verbrauch pro Kopf [l],106.8
2013,Enzkreis,Täglicher Verbrauch pro Kopf [l],106.4
2016,Enzkreis,Täglicher Verbrauch pro Kopf [l],110.5
2019,Enzkreis,Täglicher Verbrauch pro Kopf [l],136.4
2007,Land BW,Täglicher Verbrauch pro Kopf [l],115.9
2010,Land BW,Täglicher Verbrauch pro Kopf [l],114.8
2013,Land BW,Täglicher Verbrauch pro Kopf [l],115.6
2016,Land BW,Täglicher Verbrauch pro Kopf [l],118.1
2019,Land BW,Täglicher Verbrauch pro Kopf [l],149.3
