Year,Unit,Region,Abfallart,Value
2014.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2015.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2016.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2017.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2018.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2019.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2020.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2021.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,
2010.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle,
2011.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2012.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2013.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2014.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2015.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2016.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2017.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2018.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2019.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2020.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
2021.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,
,,,,
