Year,Region,gruppe.beschaeftigt,Value
2013,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,982
2014,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1041
2015,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1083
2016,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1103
2017,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1175
2018,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1227
2019,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1284
2020,Enzkreis,Realisiertes Steuerpotenzial je Einwohner,1281
2013,Land BW,Realisiertes Steuerpotenzial je Einwohner,1178
2014,Land BW,Realisiertes Steuerpotenzial je Einwohner,1250
2015,Land BW,Realisiertes Steuerpotenzial je Einwohner,1295
2016,Land BW,Realisiertes Steuerpotenzial je Einwohner,1335
2017,Land BW,Realisiertes Steuerpotenzial je Einwohner,1417
2018,Land BW,Realisiertes Steuerpotenzial je Einwohner,1475
2019,Land BW,Realisiertes Steuerpotenzial je Einwohner,1537
2020,Land BW,Realisiertes Steuerpotenzial je Einwohner,1541
,,,
