Year,Region,gruppe.beschaeftigt,Value
2015,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2016,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2017,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2018,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2019,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2020,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2021,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0
2022,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],4
2015,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2016,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2017,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2018,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2019,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2020,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2021,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0
2022,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],14
,,,
